SampleID	Grupo_Experimental	Dieta	Ambiente	Tiempo	Description	MVS-40	Solibacterales	Sva0725	Actinomycetales	Coriobacteriales	Bacteroidales	Flavobacteriales	Saprospirales	Caldilineales	WCHB1-50	SM1D11	YS2	Deferribacterales	Bacillales	Lactobacillales	Turicibacterales	Clostridiales	Erysipelotrichales	RF32	Rhizobiales	Burkholderiales	Desulfovibrionales	Myxococcales	Spirobacillales	Thermodesulfobacteriales	Campylobacterales	Alteromonadales	Enterobacteriales	Legionellales	Pasteurellales	Thiotrichales	Xanthomonadales	CW040	Anaeroplasmatales	RF39	ML615J-28	Verrucomicrobiales	Arctic97B-4	Ucn15732
13i	Inicial	Normal	Normal	0	Inicial	0.000178081703886	0.00012465719272	3.56163407771e-05	0.000427396089326	0.0056095736724	0.368646935214	0.0059301207394	0.000480820600492	3.56163407771e-05	3.56163407771e-05	7.12326815543e-05	0.00113972290487	0.00174520069808	8.90408519429e-05	0.0208177511842	0.0	0.369483919222	0.0117355842861	0.0	0.000195889874274	0.00487943868647	0.00893970153506	0.000534245111657	0.0	0.000106849022331	0.000142465363109	0.000427396089326	0.000641094133989	0.000569861452434	0.000142465363109	0.000908216689817	5.34245111657e-05	0.0131246215764	0.000979449371372	5.34245111657e-05	3.56163407771e-05	0.179951561777	0.000427396089326	7.12326815543e-05
20DAG.AE	DAG_AE	DAG	Enriquecido	24	DAG_24S_AE	0.000437713385275	4.37713385275e-05	4.37713385275e-05	0.000700341416441	0.000962969447606	0.409553824156	0.00650733899443	0.000277218477341	2.91808923517e-05	0.000102133123231	1.45904461758e-05	0.000554436954682	0.0278677521959	7.29522308792e-05	0.0128541830809	0.0	0.471665353527	0.000277218477341	0.0	0.000306399369693	7.29522308792e-05	0.0467915608859	0.00160494907934	8.75426770551e-05	5.83617847034e-05	5.83617847034e-05	0.000189675800286	0.000875426770551	0.000904607662902	0.000116723569407	0.000919198109078	1.45904461758e-05	0.0139776474365	0.0	0.0	0.0	0.0	0.0	1.45904461758e-05
21DN.AE	DN_AE	Normal	Enriquecido	24	DN_24S_AE	0.000291593009058	3.64491261322e-05	9.11228153305e-05	0.000583186018115	0.00167665980208	0.532594631044	0.0108436150243	0.000911228153305	9.11228153305e-05	0.000127571941463	0.000236919319859	0.0135408503581	0.00663374095606	0.00359023892402	0.0318200871134	0.0	0.292504237211	0.00450146707733	0.000109347378397	0.000218694756793	0.000546736891983	0.00601410581181	0.00105702465783	0.000109347378397	0.0	0.000127571941463	0.000346266698256	0.000765431648776	0.000583186018115	5.46736891983e-05	0.000619635144247	1.82245630661e-05	0.011864190556	0.0274461919775	0.000783656211842	0.000583186018115	0.0467460042645	9.11228153305e-05	7.28982522644e-05
26DAG.AN	DAG_AN	DAG	Normal	24	DAG_24S_AN	0.000232369001975	5.80922504938e-05	1.45230626234e-05	0.000290461252469	0.00258510514697	0.379240734286	0.00739223887533	0.000479261066574	0.000116184500988	8.71383757407e-05	0.0	0.0013651678866	0.00747937725107	0.00046473800395	0.122792494481	0.0	0.39409782735	0.00397931915882	0.000174276751481	0.000232369001975	2.90461252469e-05	0.00739223887533	0.00101661438364	0.000159753688858	0.000101661438364	5.80922504938e-05	0.000145230626234	0.000522830254444	0.000334030440339	5.80922504938e-05	0.00046473800395	0.0	0.0658185198095	0.0	0.000958522133147	0.0	0.0	0.0	0.000101661438364
26DAG.SM	DAG	DAG	Normal	12	DAG_12S	0.000285243818637	2.59312562397e-05	2.59312562397e-05	0.000544556381034	0.00194484421798	0.433220532369	0.00669026410984	0.000531590752914	3.88968843596e-05	0.000103725024959	0.0	0.000816834571551	0.0199281704202	0.000155587537438	0.0328678672838	0.0	0.438692027435	0.000142621909318	0.000233381306157	0.000285243818637	1.29656281199e-05	0.0465984674628	0.00132249406823	3.88968843596e-05	0.000103725024959	5.18625124794e-05	0.000259312562397	0.00110207839019	0.000596418893513	0.000155587537438	0.00089462834027	0.0	0.00969828983365	0.0	7.77937687191e-05	0.0	2.59312562397e-05	0.0	6.48281405993e-05
27DAG.AE	DAG_AE	DAG	Enriquecido	24	DAG_24S_AE	0.00014123153902	0.0	2.01759341458e-05	0.000221935275603	0.00187636187555	0.527519974175	0.0111169397143	0.00100879670729	6.05278024373e-05	0.000161407473166	0.0	0.00230005649262	0.00121055604875	0.000161407473166	0.0698692599467	0.0	0.322229844242	0.0190259058994	2.01759341458e-05	0.000242111209749	0.0	0.00397465902671	0.000827213299976	0.0	0.00014123153902	2.01759341458e-05	4.03518682915e-05	0.000363166814624	0.000504398353644	4.03518682915e-05	0.000403518682915	0.0	0.0327051892503	0.0	0.000988620773142	0.000423694617061	2.01759341458e-05	0.0	0.00014123153902
27DAG.SM	DAG	DAG	Normal	12	DAG_12S	0.000826847088942	1.59009055566e-05	4.77027166697e-05	0.000453175808362	0.000818896636163	0.395463471645	0.00674993440876	0.000246464036127	0.000103355886118	0.000119256791674	0.0	0.00027826584724	0.062967586004	0.000174909961122	0.042240755611	0.0	0.431987851708	0.000373671280579	0.00630470905318	0.00027826584724	0.0	0.0280094451379	0.00161394191399	7.95045277829e-05	0.000143108150009	9.54054333394e-05	0.000174909961122	0.00111306338896	0.000969955238951	0.000127207244453	0.000977905691729	0.0	0.0148196439787	0.0	4.77027166697e-05	0.0	3.18018111131e-05	0.0	5.5653169448e-05
31i	Inicial	Normal	Normal	0	Inicial	0.000197771771376	6.59239237919e-05	8.78985650559e-05	0.000483442107808	0.00435097897027	0.356099061683	0.00595512778254	0.00032961961896	0.00010987320632	6.59239237919e-05	0.0	0.00140637704089	0.00637264596655	0.00010987320632	0.00637264596655	0.0	0.329355923265	0.0095809435911	0.00516404069704	0.000351594260224	0.000813061726767	0.0095809435911	0.000944909574351	0.0	4.3949282528e-05	0.000131847847584	0.00032961961896	0.000659239237919	0.00123057991078	0.00010987320632	0.000900960291823	0.000131847847584	0.0314237370075	0.0104599292417	0.0021974641264	0.000285670336432	0.21227503461	0.000593315314127	2.1974641264e-05
33DN.AE	DN_AE	Normal	Enriquecido	24	DN_24S_AE	0.000172308163578	5.7436054526e-05	7.65814060346e-05	0.000612651248277	0.00112957573901	0.371706999541	0.00654771021596	0.000268034921121	0.000153162812069	9.57267575433e-05	9.57267575433e-05	0.00672001837954	0.011027722469	0.000268034921121	0.00536069842242	0.0	0.339485372951	0.00444172155001	0.00323556440496	0.000153162812069	0.00189538979936	0.00513095420432	0.00057436054526	1.91453515087e-05	3.82907030173e-05	7.65814060346e-05	0.000325470975647	0.000631796599786	0.00112957573901	0.000191453515087	0.000516924490734	1.91453515087e-05	0.0214045029867	0.0171159442487	0.00660514627049	0.000363761678664	0.190745137081	0.000459488436208	9.57267575433e-05
33SM.DN	DN	Normal	Normal	12	DN_12S	0.000237859266601	9.91080277502e-05	1.982160555e-05	0.000654112983152	0.00267591674926	0.345074331021	0.00560951437066	0.000436075322101	0.0001189296333	3.96432111001e-05	0.00017839444995	0.0141724479683	0.0010703666997	0.000555004955401	0.146798810704	0.00356788899901	0.314945490585	0.00432111000991	0.00352824578791	0.000317145688801	0.00410307234886	0.00279484638256	0.000555004955401	0.000654112983152	5.94648166501e-05	0.00013875123885	0.000317145688801	0.000911793855302	0.0012685827552	0.0001585728444	0.000991080277502	3.96432111001e-05	0.0217443012884	0.0126461843409	0.000812685827552	0.000336967294351	0.105510406343	0.0001982160555	0.0001585728444
