	13i	13DAG.SM	20DAG.AE	26DAG.AN	2i	2DN.AE	34DAG.AE	39DAG.AE	39DAG.SM	49DAG.AN	59DAG.SM	7DAG.AE	38DN.AE	46DAG.AN	48DN.AN	8DN.AE	21DN.AE	33DN.AE	45DN.AE	7DAG.SM	27DAG.AE	2SM.DN	26DAG.SM	27DAG.SM	33i	3DAG.AN	48SM.DN	50DN.AN	50i	51DN.AN	54DAG.AN	59DAG.AN	59i	8SM.DN	51SM.DN	10DAG.AE	31i	33SM.DN	50SM.DN
27DAG.AE	0.364505478795	0.261621935482	0.247411836035	0.247345040064	0.385965735866	0.395166237893	0.251268877364	0.22358562414	0.192698785664	0.238793685364	0.273432111888	0.234232485985	0.353203751513	0.253734088975	0.378808310738	0.357708503061	0.374618993265	0.38899374614	0.366775670857	0.319529052053	0.0	0.391638241087	0.285753620478	0.283393250453	0.405084485188	0.205457508566	0.380966363289	0.42011247143	0.412676649555	0.387266525421	0.263600404445	0.271293274624	0.458241387104	0.422661934288	0.369079949689	0.264856076562	0.390624271603	0.400153503875	0.383598591342
2SM.DN	0.217114459251	0.340254342815	0.374353833586	0.348718555507	0.215047387485	0.151349501771	0.392202456526	0.363034576904	0.367209679907	0.385039809293	0.3707732221	0.344750709599	0.163515796857	0.404265165918	0.15042959346	0.179745097773	0.188481790003	0.178962411527	0.180193538804	0.351894281339	0.391638241087	0.0	0.360192362497	0.387708946258	0.156363289199	0.36286396088	0.133588940062	0.19415921122	0.19653839634	0.147436512441	0.353429527664	0.396200940992	0.21521700861	0.222727976117	0.142763546	0.384493887769	0.148539068914	0.152629275159	0.123069697789
26DAG.SM	0.360525402805	0.196763529562	0.223653593238	0.243198020208	0.355974516077	0.37546928237	0.258602688055	0.21658112534	0.26202722042	0.280703162951	0.294361112567	0.239471207757	0.341068288859	0.267454470396	0.35451621548	0.332363090522	0.342996070066	0.385395618644	0.33730110976	0.318076716101	0.285753620478	0.360192362497	0.0	0.223038041156	0.37197501395	0.222255675531	0.327323486379	0.405984893336	0.373198420126	0.374257725501	0.252372881173	0.307849835253	0.390661182138	0.398482196924	0.338602746537	0.22352820514	0.34536628092	0.36672386735	0.340861880105
27DAG.SM	0.390063789594	0.259364011294	0.276343560133	0.318255796495	0.388845305174	0.405129226226	0.284238488443	0.266853947109	0.254134008546	0.342302056244	0.355757840048	0.280653474813	0.386661033215	0.328460073549	0.38834893862	0.366633507423	0.390272453313	0.410609915391	0.369186444395	0.3497939252	0.283393250453	0.387708946258	0.223038041156	0.0	0.392711492222	0.287929885703	0.378144379633	0.437865045716	0.424184561975	0.397936802129	0.308034120602	0.324895268999	0.44114059331	0.433727210419	0.381227615373	0.28602789234	0.38774526853	0.407818224197	0.372261709972
33i	0.24909224933	0.346811107149	0.375648280269	0.357800242208	0.219643036162	0.180654793245	0.399983836675	0.378469232958	0.379961019752	0.378784767276	0.362444588773	0.365708816843	0.184592512802	0.403465799636	0.166975529591	0.199428460313	0.220325126612	0.182067626066	0.193256051078	0.365052484598	0.405084485188	0.156363289199	0.37197501395	0.392711492222	0.0	0.371532012117	0.167289741992	0.199938951279	0.190598060763	0.171790253226	0.356206153618	0.390138479706	0.239468293426	0.231971609538	0.1572751845	0.390972860489	0.14196562313	0.159597147443	0.161720129406
3DAG.AN	0.357103755242	0.233546764935	0.249638246781	0.174452384736	0.369760622336	0.371958437755	0.258080007671	0.223943045168	0.190535469524	0.184146693707	0.225716668656	0.221580062836	0.314131563372	0.178427309102	0.361639151476	0.357596665595	0.342892616197	0.38036142186	0.346234549561	0.291808696425	0.205457508566	0.36286396088	0.222255675531	0.287929885703	0.371532012117	0.0	0.331420174291	0.390479212892	0.383050443907	0.361781158653	0.200598338391	0.184342788606	0.406631927344	0.398961700208	0.33883314672	0.251200558686	0.354773780897	0.368002235284	0.335588099059
48SM.DN	0.22534742338	0.308685946552	0.340239036679	0.315795267407	0.212864497537	0.168018954124	0.362576106171	0.34843619068	0.337443602652	0.349282469832	0.353280578574	0.329669746648	0.1655478189	0.373755852195	0.15913927429	0.174374766364	0.207224117613	0.179243899797	0.181939912592	0.35013729756	0.380966363289	0.133588940062	0.327323486379	0.378144379633	0.167289741992	0.331420174291	0.0	0.193341628151	0.199384504034	0.163840837079	0.322001419595	0.366152600227	0.212369515859	0.228736241544	0.130883502075	0.352340030906	0.143822406139	0.150096609165	0.115217657136
50DN.AN	0.277132561929	0.375428774379	0.419703398044	0.372671170756	0.249512390813	0.183325104451	0.426779076742	0.40341415781	0.393846850652	0.404183533182	0.395208628488	0.387140108415	0.170307631315	0.423050339991	0.151096788088	0.215052569477	0.202265339508	0.182742612425	0.190602069883	0.344771699159	0.42011247143	0.19415921122	0.405984893336	0.437865045716	0.199938951279	0.390479212892	0.193341628151	0.0	0.229377769775	0.157744549442	0.394700118031	0.432572214803	0.201407383814	0.200926033358	0.178120699281	0.419850305379	0.172426777042	0.185849275721	0.165265893691
50i	0.216501366209	0.368467143132	0.411804434965	0.381733804762	0.216249785756	0.22172092647	0.409997840793	0.396996347943	0.407749194183	0.388733108231	0.365139009073	0.377689969818	0.191242877582	0.411975753574	0.191243326936	0.250043984922	0.242120662058	0.211044077595	0.215430416772	0.387542374175	0.412676649555	0.19653839634	0.373198420126	0.424184561975	0.190598060763	0.383050443907	0.199384504034	0.229377769775	0.0	0.196795601762	0.401962565125	0.416888176641	0.197045239095	0.208944756766	0.189545406084	0.433004814288	0.175869371514	0.200980259436	0.203750268781
51DN.AN	0.24940685295	0.343904546677	0.382232880111	0.357107712733	0.217453064941	0.147700737984	0.390902108442	0.366977356735	0.347490699494	0.367054882144	0.369749730044	0.353666975831	0.144500648217	0.400767271601	0.115741874741	0.18790817672	0.178199274034	0.15236177823	0.160611369638	0.370348205555	0.387266525421	0.147436512441	0.374257725501	0.397936802129	0.171790253226	0.361781158653	0.163840837079	0.157744549442	0.196795601762	0.0	0.349663814779	0.388805266166	0.247423666813	0.2243238609	0.159734594558	0.386611380053	0.144336781033	0.158345347453	0.148047998432
54DAG.AN	0.343827400406	0.230290319912	0.257285471753	0.206855507565	0.34131613143	0.355260960764	0.276189185898	0.239055909103	0.259054776199	0.23943941908	0.262420293802	0.230850725281	0.326780006032	0.251081779632	0.34879354081	0.342888000651	0.331487081104	0.379715703295	0.334572291932	0.302723763522	0.263600404445	0.353429527664	0.252372881173	0.308034120602	0.356206153618	0.200598338391	0.322001419595	0.394700118031	0.401962565125	0.349663814779	0.0	0.198556499362	0.421651493367	0.387647964087	0.342003916197	0.281321183273	0.360095688329	0.374496089621	0.351574045746
59DAG.AN	0.390525871091	0.286783132609	0.297293665325	0.204459042942	0.391273503869	0.404876033077	0.280257043753	0.286463146588	0.259859470394	0.21169641093	0.23016984588	0.282065013758	0.364908892157	0.214880935435	0.395433310733	0.389505700483	0.366877615069	0.413356101564	0.381415325851	0.304049862043	0.271293274624	0.396200940992	0.307849835253	0.324895268999	0.390138479706	0.184342788606	0.366152600227	0.432572214803	0.416888176641	0.388805266166	0.198556499362	0.0	0.443610173042	0.428803033955	0.383361843367	0.294300450023	0.403328224669	0.390149447856	0.38326071049
59i	0.253905947954	0.411230907143	0.437623955606	0.415118348754	0.236949615588	0.246889651123	0.441857941199	0.429217070243	0.427318839024	0.422527692451	0.415692062129	0.396008882463	0.246526156425	0.431239129144	0.227738546351	0.2884135884	0.281667613008	0.258140389546	0.260661560233	0.342360160289	0.458241387104	0.21521700861	0.390661182138	0.44114059331	0.239468293426	0.406631927344	0.212369515859	0.201407383814	0.197045239095	0.247423666813	0.421651493367	0.443610173042	0.0	0.233201565379	0.228062969201	0.441096325077	0.204780255196	0.20665536097	0.212159516922
8SM.DN	0.27206720356	0.375655460683	0.410083248059	0.389322565836	0.253781465731	0.259325799091	0.422463471754	0.397924402768	0.405637120506	0.417054034812	0.383377877523	0.388794120599	0.228883244843	0.440779050577	0.23348330182	0.278135118754	0.252002725189	0.235213500388	0.231756820897	0.330672862564	0.422661934288	0.222727976117	0.398482196924	0.433727210419	0.231971609538	0.398961700208	0.228736241544	0.200926033358	0.208944756766	0.2243238609	0.387647964087	0.428803033955	0.233201565379	0.0	0.207378941949	0.417995611038	0.237720143835	0.241246452807	0.228282324732
51SM.DN	0.21653523648	0.327563376643	0.362189847569	0.322783807752	0.201194999106	0.172815441633	0.362363501283	0.355558824245	0.352273467745	0.349672139209	0.346698745796	0.339014983913	0.145584888075	0.368226278298	0.141382898829	0.18061193715	0.201545019945	0.167328861537	0.161844515329	0.345665861968	0.369079949689	0.142763546	0.338602746537	0.381227615373	0.1572751845	0.33883314672	0.130883502075	0.178120699281	0.189545406084	0.159734594558	0.342003916197	0.383361843367	0.228062969201	0.207378941949	0.0	0.360202414983	0.146970887076	0.150288617235	0.10494875596
10DAG.AE	0.394663533229	0.256168632481	0.220203422167	0.231661623989	0.392014474775	0.391279185916	0.255586348327	0.229126659238	0.227948769164	0.289037114509	0.323491887134	0.257565079774	0.371876141409	0.256740032924	0.375756130417	0.350954387854	0.367877849444	0.394450312944	0.367207709237	0.335137350411	0.264856076562	0.384493887769	0.22352820514	0.28602789234	0.390972860489	0.251200558686	0.352340030906	0.419850305379	0.433004814288	0.386611380053	0.281321183273	0.294300450023	0.441096325077	0.417995611038	0.360202414983	0.0	0.372251590892	0.39230612104	0.363531666045
31i	0.203642200314	0.33976416621	0.363166779353	0.35792515242	0.182179550268	0.156708183921	0.377870950637	0.36127879956	0.367271752513	0.35361084119	0.354449801349	0.339891181655	0.165923226252	0.385151448146	0.12341148401	0.193648651124	0.198445455935	0.165816216323	0.172729671133	0.37195852943	0.390624271603	0.148539068914	0.34536628092	0.38774526853	0.14196562313	0.354773780897	0.143822406139	0.172426777042	0.175869371514	0.144336781033	0.360095688329	0.403328224669	0.204780255196	0.237720143835	0.146970887076	0.372251590892	0.0	0.157299497027	0.149697334798
33SM.DN	0.256585484776	0.356129899791	0.384369092162	0.360909906275	0.218701480523	0.15545697179	0.402880978604	0.380038104666	0.362205172323	0.379631731035	0.377374357841	0.364491832728	0.164950832829	0.387064577072	0.143090247536	0.191764351488	0.204422421306	0.174165227179	0.188699994965	0.380305371443	0.400153503875	0.152629275159	0.36672386735	0.407818224197	0.159597147443	0.368002235284	0.150096609165	0.185849275721	0.200980259436	0.158345347453	0.374496089621	0.390149447856	0.20665536097	0.241246452807	0.150288617235	0.39230612104	0.157299497027	0.0	0.14073233195
50SM.DN	0.227745711712	0.324754214436	0.366255002339	0.336779506546	0.208876865794	0.150428947572	0.379983484632	0.362027200792	0.343122055439	0.372515872487	0.367113829447	0.339823073582	0.150603843328	0.377103737566	0.127738138354	0.185690039964	0.191749252536	0.150919896006	0.168670456375	0.351361509034	0.383598591342	0.123069697789	0.340861880105	0.372261709972	0.161720129406	0.335588099059	0.115217657136	0.165265893691	0.203750268781	0.148047998432	0.351574045746	0.38326071049	0.212159516922	0.228282324732	0.10494875596	0.363531666045	0.149697334798	0.14073233195	0.0
